Experiment Name,Feature Combo,Model Type,Horizon,Bear Threshold,Test Market Regime,Test Market Return,Test Bull Ratio,Test Bear Ratio,MAE,MSE,RMSE,Direction Acc,Correlation,R2,Sharpe,Sortino,Max DD,CAGR,Total Return,Win Rate,N Trades,Avg Trade Return,Buy & Hold Benchmark Name,Buy & Hold Return,Buy & Hold CAGR,Buy & Hold Sharpe,Buy & Hold Max DD,Buy & Hold Return Raw,Buy & Hold Return After Cost,Excess Return vs B&H,Beats Buy & Hold,Val Sharpe,Val CAGR,Best Holding Days,Best Cooldown,Best Threshold,Best Base Exposure,Best Defensive Exposure,Best Signal EMA Alpha
stock_only_regime_embedding_h1_t10,stock_only,regime_embedding,1,-0.1,bull,0.31420705833501517,0.8853503184713376,0.11464968152866242,0.05283561,0.0050555416,0.07110233,0.5859872611464968,-0.0332056697035935,-44.144577,1.737916366459515,2.4694825200332344,-0.07229461945736322,0.3496366868789098,0.20395553168813607,0.5733333333333334,2,0.0015068187612121678,after_cost,0.3038350128170939,0.5350724548676411,2.5032908936382015,-0.067043511167818,0.31420705833501494,0.3038350128170939,-0.09987948112895784,False,0.4498721546006826,0.08665349409723944,5,0,0.004,,,
stock_only_regime_embedding_h1_t12,stock_only,regime_embedding,1,-0.12,bull,0.31420705833501517,0.9681528662420382,0.03184713375796178,0.044592973,0.0025048233,0.05004821,0.5732484076433121,-0.051865460117692073,-21.367374,2.131427620371172,3.253919680886858,-0.06704351116781826,0.43529000497510895,0.2506999232342473,0.5789473684210527,4,0.0017360947111388352,after_cost,0.3038350128170939,0.5350724548676411,2.5032908936382015,-0.067043511167818,0.31420705833501494,0.3038350128170939,-0.05313508958284663,False,0.6975788883671118,0.12030390004173519,2,0,0.004,,,
stock_only_regime_embedding_h1_t15,stock_only,regime_embedding,1,-0.15,bull,0.31420705833501517,1.0,0.0,0.04986616,0.0035602734,0.059668027,0.5732484076433121,-0.05730300751162923,-30.792252,2.2817655350454458,3.4495422720364792,-0.06704351116781805,0.48137357450068685,0.27540909632509725,0.5806451612903226,2,0.0017803451393598843,after_cost,0.3038350128170939,0.5350724548676411,2.5032908936382015,-0.067043511167818,0.31420705833501494,0.3038350128170939,-0.02842591649199666,False,1.1468683304290768,0.20202887037925632,5,0,0.008,,,
stock_only_regime_embedding_h1_t18,stock_only,regime_embedding,1,-0.18,bull,0.31420705833501517,1.0,0.0,0.065549344,0.004970764,0.070503645,0.5859872611464968,0.03577468904072848,-43.38754,2.2840940517282777,3.4740367397470875,-0.06704351116781855,0.4835298373039487,0.27655801772744604,0.5844155844155844,3,0.0018490768732241712,after_cost,0.3038350128170939,0.5350724548676411,2.5032908936382015,-0.067043511167818,0.31420705833501494,0.3038350128170939,-0.02727699508964787,False,1.1959178138648932,0.23251319913604096,3,0,0.006,,,
stock_only_regime_embedding_h1_t20,stock_only,regime_embedding,1,-0.2,bull,0.31420705833501517,1.0,0.0,0.06353424,0.0049986662,0.07070125,0.5796178343949044,0.0568204292893754,-43.6367,2.2861903238090635,3.4539100665946716,-0.06704351116781826,0.48212755701626175,0.27581091318309303,0.5806451612903226,2,0.0017823058841435818,after_cost,0.3038350128170939,0.5350724548676411,2.5032908936382015,-0.067043511167818,0.31420705833501494,0.3038350128170939,-0.028024099634000876,False,1.669121252680953,0.2900526787307085,2,0,0.004,,,
stock_only_regime_embedding_h2_t10,stock_only,regime_embedding,2,-0.1,bull,0.31895716091487736,0.8846153846153846,0.11538461538461539,0.06575812,0.006004783,0.07749053,0.6346153846153846,-0.1494576663343509,-30.557894,2.352414392926513,3.5131592834032177,-0.0670435111678181,0.498603392325077,0.2825115084150791,0.5882352941176471,2,0.0018394721526616734,after_cost,0.3086365680704901,0.5485497707825309,2.558576556416447,-0.067043511167818,0.31895716091487736,0.3086365680704901,-0.02612505965541101,False,1.082112917086575,0.2149718615712759,5,0,0.006,,,
stock_only_regime_embedding_h2_t12,stock_only,regime_embedding,2,-0.12,bull,0.31895716091487736,0.967948717948718,0.03205128205128205,0.06495358,0.0057013817,0.07550749,0.5769230769230769,-0.07260376911078853,-28.963383,2.0911046851815023,3.1893042220515317,-0.061919749422876834,0.3913864876514648,0.22526991569261368,0.5625,2,0.0018292693765419774,after_cost,0.3086365680704901,0.5485497707825309,2.558576556416447,-0.067043511167818,0.31895716091487736,0.3086365680704901,-0.08336665237787644,False,1.1404747449218133,0.2278458182642602,2,0,0.008,,,
stock_only_regime_embedding_h2_t15,stock_only,regime_embedding,2,-0.15,bull,0.31895716091487736,1.0,0.0,0.08704769,0.009912911,0.0995636,0.6346153846153846,0.06861865776697938,-51.096905,2.468276362948573,3.6772873768729273,-0.06704351116781794,0.528680910520863,0.2982833466886383,0.5870967741935483,1,0.0018441506546506376,after_cost,0.3086365680704901,0.5485497707825309,2.558576556416447,-0.067043511167818,0.31895716091487736,0.3086365680704901,-0.010353221381851796,False,1.2939761873340672,0.2627599952027111,5,0,0.008,,,
stock_only_regime_embedding_h2_t18,stock_only,regime_embedding,2,-0.18,bull,0.31895716091487736,1.0,0.0,0.13673533,0.027609024,0.16615963,0.6346153846153846,0.005720217297642067,-144.09811,2.468276362948573,3.6772873768729273,-0.06704351116781794,0.528680910520863,0.2982833466886383,0.5870967741935483,1,0.0018441506546506376,after_cost,0.3086365680704901,0.5485497707825309,2.558576556416447,-0.067043511167818,0.31895716091487736,0.3086365680704901,-0.010353221381851796,False,1.3164242090451954,0.2689678650287659,2,0,0.004,,,
stock_only_regime_embedding_h2_t20,stock_only,regime_embedding,2,-0.2,bull,0.31895716091487736,1.0,0.0,0.058089856,0.0046430076,0.06813962,0.6346153846153846,-0.20286964135207292,-23.40114,2.468276362948573,3.6772873768729273,-0.06704351116781794,0.528680910520863,0.2982833466886383,0.5870967741935483,1,0.0018441506546506376,after_cost,0.3086365680704901,0.5485497707825309,2.558576556416447,-0.067043511167818,0.31895716091487736,0.3086365680704901,-0.010353221381851796,False,1.171478950476585,0.23658581504160625,3,0,0.008,,,
