Date,Open,High,Low,Close,Volume
2015-01-05 00:00:00+08:00,9292.31,9292.31,9182.02,9274.11,2311000
2015-01-06 00:00:00+08:00,9209.93,9209.93,9043.44,9048.34,2725800
2015-01-07 00:00:00+08:00,9051.94,9108.66,9050.54,9080.09,2384100
2015-01-08 00:00:00+08:00,9154.03,9246.62,9154.03,9238.03,2657600
2015-01-09 00:00:00+08:00,9247.4,9284.57,9215.58,9215.58,2398800
2015-01-12 00:00:00+08:00,9198.02,9229.65,9178.3,9178.3,2205700
2015-01-13 00:00:00+08:00,9162.77,9253.82,9161.71,9231.8,2324800
2015-01-14 00:00:00+08:00,9235.9,9242.2,9161.71,9180.23,2271500
2015-01-15 00:00:00+08:00,9197.32,9219.43,9149.1,9165.09,2210200
2015-01-16 00:00:00+08:00,9245.77,9256.86,9109.46,9138.29,2591100
2015-01-19 00:00:00+08:00,9183.76,9247.09,9151.82,9174.06,1893500
2015-01-20 00:00:00+08:00,9188.76,9259.31,9177.48,9251.69,1795000
2015-01-21 00:00:00+08:00,9283.79,9319.71,9275.68,9319.71,2174400
2015-01-22 00:00:00+08:00,9336.81,9386.56,9336.81,9369.51,2387200
2015-01-23 00:00:00+08:00,9422.0,9471.8,9422.0,9470.94,2647100
2015-01-26 00:00:00+08:00,9474.56,9478.53,9436.47,9477.67,1906500
2015-01-27 00:00:00+08:00,9505.56,9523.73,9471.19,9521.59,1875400
2015-01-28 00:00:00+08:00,9503.2,9515.29,9471.31,9510.92,1784400
2015-01-29 00:00:00+08:00,9479.36,9482.13,9403.75,9426.9,1849600
2015-01-30 00:00:00+08:00,9452.85,9466.65,9361.91,9361.91,2041700
2015-02-02 00:00:00+08:00,9368.83,9410.43,9352.19,9386.99,1650800
2015-02-03 00:00:00+08:00,9394.47,9460.17,9394.47,9448.73,1649300
2015-02-04 00:00:00+08:00,9477.52,9533.88,9477.52,9513.92,2134800
2015-02-05 00:00:00+08:00,9511.06,9517.42,9472.42,9512.05,1523200
2015-02-06 00:00:00+08:00,9521.88,9521.88,9448.65,9456.18,1533300
2015-02-09 00:00:00+08:00,9465.12,9465.12,9413.18,9421.5,1425200
2015-02-10 00:00:00+08:00,9405.59,9435.07,9390.13,9393.7,1631400
2015-02-11 00:00:00+08:00,9430.17,9488.72,9430.17,9462.22,1909200
2015-02-12 00:00:00+08:00,9496.39,9500.35,9447.19,9496.31,1563800
2015-02-13 00:00:00+08:00,9500.04,9542.09,9499.97,9529.51,1601700
2015-02-24 00:00:00+08:00,9582.39,9638.48,9582.39,9629.37,2332200
2015-02-25 00:00:00+08:00,9655.72,9699.54,9653.77,9699.54,2209800
2015-02-26 00:00:00+08:00,9687.48,9688.07,9610.59,9622.1,2117000
2015-03-02 00:00:00+08:00,9665.11,9690.43,9588.36,9601.36,2202800
2015-03-03 00:00:00+08:00,9628.06,9642.95,9571.64,9605.77,1882000
2015-03-04 00:00:00+08:00,9596.24,9635.18,9580.78,9621.73,1910300
2015-03-05 00:00:00+08:00,9627.04,9631.04,9564.44,9595.09,1921600
2015-03-06 00:00:00+08:00,9587.59,9645.77,9574.55,9645.77,2120500
2015-03-09 00:00:00+08:00,9617.04,9617.04,9549.76,9562.98,1785400
2015-03-10 00:00:00+08:00,9566.25,9583.78,9520.33,9536.53,2012200
2015-03-11 00:00:00+08:00,9503.28,9561.81,9472.54,9523.18,2230500
2015-03-12 00:00:00+08:00,9537.23,9608.02,9530.74,9596.0,2358800
2015-03-13 00:00:00+08:00,9608.44,9633.51,9579.35,9579.35,1941300
2015-03-16 00:00:00+08:00,9583.45,9590.76,9512.91,9512.91,1773200
2015-03-17 00:00:00+08:00,9555.1,9629.8,9539.44,9539.44,2021100
2015-03-18 00:00:00+08:00,9563.74,9653.43,9561.5,9653.43,2195500
2015-03-19 00:00:00+08:00,9668.01,9745.59,9668.01,9736.73,2389700
2015-03-20 00:00:00+08:00,9706.35,9749.69,9705.32,9749.69,2580300
2015-03-23 00:00:00+08:00,9759.88,9775.63,9729.81,9758.09,2206800
2015-03-24 00:00:00+08:00,9759.96,9768.71,9701.33,9731.66,1945600
2015-03-25 00:00:00+08:00,9739.25,9743.58,9653.47,9667.83,1966300
2015-03-26 00:00:00+08:00,9579.63,9619.12,9540.03,9619.12,2194600
2015-03-27 00:00:00+08:00,9593.07,9608.44,9503.72,9503.72,2251300
2015-03-30 00:00:00+08:00,9533.38,9556.25,9503.53,9521.87,1783800
2015-03-31 00:00:00+08:00,9568.38,9594.75,9527.87,9586.44,2184800
2015-04-01 00:00:00+08:00,9575.11,9575.11,9503.53,9507.66,1788200
2015-04-02 00:00:00+08:00,9535.98,9628.95,9535.98,9600.32,1860500
2015-04-07 00:00:00+08:00,9619.97,9653.97,9613.33,9641.9,2011600
2015-04-08 00:00:00+08:00,9646.07,9654.67,9562.0,9571.97,1983700
2015-04-09 00:00:00+08:00,9597.21,9663.05,9559.71,9568.04,2165100
2015-04-10 00:00:00+08:00,9626.88,9648.34,9582.84,9617.7,2002700
2015-04-13 00:00:00+08:00,9622.64,9666.52,9622.59,9666.52,1855700
2015-04-14 00:00:00+08:00,9646.28,9664.1,9631.19,9642.22,2034000
2015-04-15 00:00:00+08:00,9629.7,9654.15,9508.14,9540.06,2435600
2015-04-16 00:00:00+08:00,9578.71,9656.87,9578.71,9656.87,2224100
2015-04-17 00:00:00+08:00,9608.6,9615.52,9570.93,9570.93,2047400
2015-04-20 00:00:00+08:00,9541.83,9572.65,9508.57,9552.85,1925300
2015-04-21 00:00:00+08:00,9554.8,9598.86,9512.64,9533.98,2098100
2015-04-22 00:00:00+08:00,9549.61,9630.79,9549.61,9613.0,2128600
2015-04-23 00:00:00+08:00,9655.3,9814.88,9655.3,9797.49,3637800
2015-04-24 00:00:00+08:00,9839.71,9961.31,9839.71,9913.28,3791200
2015-04-27 00:00:00+08:00,9941.18,10002.58,9937.04,9973.12,3381800
2015-04-28 00:00:00+08:00,9998.08,10014.28,9918.01,9956.83,2770800
2015-04-29 00:00:00+08:00,9934.82,9978.87,9842.5,9853.83,2859900
2015-04-30 00:00:00+08:00,9841.15,9894.9,9820.05,9820.05,2644700
2015-05-04 00:00:00+08:00,9853.51,9871.65,9800.48,9845.04,2298800
2015-05-05 00:00:00+08:00,9849.13,9855.64,9788.13,9820.13,2134800
2015-05-06 00:00:00+08:00,9780.39,9829.43,9735.94,9818.2,2353700
2015-05-07 00:00:00+08:00,9789.82,9789.82,9704.11,9704.11,2315900
2015-05-08 00:00:00+08:00,9724.29,9760.51,9692.0,9692.0,2012000
2015-05-11 00:00:00+08:00,9763.94,9797.19,9635.88,9663.72,2383200
2015-05-12 00:00:00+08:00,9637.71,9702.67,9637.21,9680.73,2141500
2015-05-13 00:00:00+08:00,9697.17,9743.33,9687.66,9724.11,2129200
2015-05-14 00:00:00+08:00,9730.33,9734.55,9600.24,9610.83,2198400
2015-05-15 00:00:00+08:00,9638.06,9644.83,9552.86,9579.48,1997700
2015-05-18 00:00:00+08:00,9603.75,9612.44,9550.76,9606.1,2154300
2015-05-19 00:00:00+08:00,9623.95,9722.8,9623.95,9716.77,2439000
2015-05-20 00:00:00+08:00,9726.02,9736.09,9662.86,9685.31,2182900
2015-05-21 00:00:00+08:00,9647.53,9647.53,9536.16,9578.56,2176000
2015-05-22 00:00:00+08:00,9606.51,9674.77,9606.51,9638.8,2176100
2015-05-25 00:00:00+08:00,9654.28,9654.28,9589.32,9645.17,1568200
2015-05-26 00:00:00+08:00,9688.31,9724.36,9649.62,9669.41,1727100
2015-05-27 00:00:00+08:00,9666.89,9710.29,9648.71,9693.54,2376600
2015-05-28 00:00:00+08:00,9741.57,9766.21,9704.93,9712.84,2366200
2015-05-29 00:00:00+08:00,9727.59,9747.27,9693.0,9701.07,3159400
2015-06-01 00:00:00+08:00,9688.13,9692.34,9589.09,9625.69,1981100
2015-06-02 00:00:00+08:00,9619.88,9657.02,9584.56,9614.26,2134600
2015-06-03 00:00:00+08:00,9617.75,9645.48,9550.44,9556.52,2285900
2015-06-04 00:00:00+08:00,9537.09,9558.77,9325.01,9348.63,2951500
2015-06-05 00:00:00+08:00,9328.02,9371.41,9272.94,9340.13,2478600
2015-06-08 00:00:00+08:00,9324.22,9419.22,9258.98,9368.43,2178100
2015-06-09 00:00:00+08:00,9346.11,9363.52,9191.87,9191.87,2785900
2015-06-10 00:00:00+08:00,9246.66,9334.5,9246.66,9298.5,2190900
2015-06-11 00:00:00+08:00,9330.99,9358.48,9251.18,9302.49,2059600
2015-06-12 00:00:00+08:00,9304.75,9339.33,9263.41,9301.93,1713100
2015-06-15 00:00:00+08:00,9304.66,9324.94,9252.34,9259.48,1595200
2015-06-16 00:00:00+08:00,9272.7,9272.7,9177.95,9212.78,1737300
2015-06-17 00:00:00+08:00,9232.81,9242.22,9170.09,9189.83,2054200
2015-06-18 00:00:00+08:00,9189.44,9243.84,9187.87,9218.37,1959000
2015-06-22 00:00:00+08:00,9247.76,9371.48,9247.76,9341.77,1993500
2015-06-23 00:00:00+08:00,9375.78,9438.39,9375.78,9391.14,1944900
2015-06-24 00:00:00+08:00,9390.27,9409.44,9364.38,9397.31,1725600
2015-06-25 00:00:00+08:00,9415.78,9500.57,9415.78,9476.34,2096500
2015-06-26 00:00:00+08:00,9481.95,9489.91,9442.94,9462.57,1584100
2015-06-29 00:00:00+08:00,9358.96,9358.96,9227.11,9236.1,1867400
2015-06-30 00:00:00+08:00,9223.27,9323.02,9204.45,9323.02,1858800
2015-07-01 00:00:00+08:00,9311.76,9404.76,9298.36,9375.23,1618400
2015-07-02 00:00:00+08:00,9372.46,9400.68,9350.05,9379.24,1753300
2015-07-03 00:00:00+08:00,9369.5,9369.5,9265.14,9358.23,1571900
2015-07-06 00:00:00+08:00,9309.86,9347.54,9255.96,9255.96,1580600
2015-07-07 00:00:00+08:00,9278.33,9332.97,9244.46,9250.16,1872800
2015-07-08 00:00:00+08:00,9225.91,9225.91,8946.75,8976.11,3059900
2015-07-09 00:00:00+08:00,8861.28,8946.24,8750.92,8914.13,2589100
2015-07-13 00:00:00+08:00,8946.72,9041.88,8946.72,9033.92,2077600
2015-07-14 00:00:00+08:00,9061.58,9124.76,9041.76,9041.76,2139300
2015-07-15 00:00:00+08:00,9063.54,9089.47,9005.1,9054.2,1789400
2015-07-16 00:00:00+08:00,9062.76,9085.31,9021.82,9042.21,1666800
2015-07-17 00:00:00+08:00,9060.92,9079.23,9018.0,9045.98,1615500
2015-07-20 00:00:00+08:00,9085.0,9124.88,8952.64,8975.0,1767100
2015-07-21 00:00:00+08:00,8997.56,9010.71,8940.38,9005.96,1714600
2015-07-22 00:00:00+08:00,8955.59,8968.39,8896.1,8918.7,1720100
2015-07-23 00:00:00+08:00,8865.36,8895.88,8751.71,8791.12,2076700
2015-07-24 00:00:00+08:00,8809.65,8811.76,8733.43,8767.86,1622400
2015-07-27 00:00:00+08:00,8733.24,8733.24,8553.09,8556.68,2322200
2015-07-28 00:00:00+08:00,8566.42,8635.88,8532.0,8582.49,2273000
2015-07-29 00:00:00+08:00,8587.7,8619.41,8516.23,8563.48,2046200
2015-07-30 00:00:00+08:00,8567.23,8697.18,8567.23,8651.49,2008700
2015-07-31 00:00:00+08:00,8670.92,8676.29,8591.37,8665.34,2024400
2015-08-03 00:00:00+08:00,8636.53,8636.53,8482.92,8524.41,1822300
2015-08-04 00:00:00+08:00,8538.44,8590.3,8433.92,8510.86,2242500
2015-08-05 00:00:00+08:00,8504.94,8563.01,8486.27,8542.27,1849400
2015-08-06 00:00:00+08:00,8564.55,8586.24,8404.67,8449.56,1995900
2015-08-07 00:00:00+08:00,8409.01,8458.04,8368.4,8442.29,1654200
2015-08-10 00:00:00+08:00,8410.63,8484.18,8374.08,8466.84,1708400
2015-08-11 00:00:00+08:00,8542.13,8586.22,8393.08,8394.14,2176400
2015-08-12 00:00:00+08:00,8365.15,8376.59,8235.95,8283.38,2319000
2015-08-13 00:00:00+08:00,8284.96,8348.39,8271.69,8311.74,2002800
2015-08-14 00:00:00+08:00,8315.14,8343.98,8283.35,8305.64,1771200
